combo,activation,optimizer,epochs_trained,train_acc,val_acc,test_acc,train_mse,test_mse,train_loss_final,val_loss_final,history_path
relu__adam,relu,adam,32,0.9794117647058823,0.970588207244873,0.9418604651162791,0.017698971554636955,0.03028075583279133,0.04416431486606598,0.1641923189163208,ann_experiment_results\histories\history_relu__adam.npz
relu__sgd,relu,sgd,100,0.961764705882353,0.9264705777168274,0.9418604651162791,0.02892252989113331,0.043107736855745316,0.12336662411689758,0.15446650981903076,ann_experiment_results\histories\history_relu__sgd.npz
relu__rmsprop,relu,rmsprop,23,0.9705882352941176,0.9558823704719543,0.9186046511627907,0.02544287033379078,0.04476776346564293,0.0722108855843544,0.1764543205499649,ann_experiment_results\histories\history_relu__rmsprop.npz
relu__adagrad,relu,adagrad,100,0.9088235294117647,0.9264705777168274,0.9302325581395349,0.0754501223564148,0.08423253893852234,0.2984990179538727,0.2782796621322632,ann_experiment_results\histories\history_relu__adagrad.npz
relu__adamax,relu,adamax,64,0.9764705882352941,0.9411764740943909,0.9767441860465116,0.018426261842250824,0.018987957388162613,0.07325457036495209,0.1380036324262619,ann_experiment_results\histories\history_relu__adamax.npz
sigmoid__adam,sigmoid,adam,55,0.9735294117647059,0.9411764740943909,0.9418604651162791,0.022110965102910995,0.030823122709989548,0.07739247381687164,0.14282816648483276,ann_experiment_results\histories\history_sigmoid__adam.npz
sigmoid__sgd,sigmoid,sgd,100,0.7058823529411765,0.6911764740943909,0.7093023255813954,0.15754011273384094,0.1570960134267807,0.5003018975257874,0.4840642809867859,ann_experiment_results\histories\history_sigmoid__sgd.npz
sigmoid__rmsprop,sigmoid,rmsprop,54,0.9705882352941176,0.9411764740943909,0.9418604651162791,0.022097811102867126,0.0276607908308506,0.10201743245124817,0.14327454566955566,ann_experiment_results\histories\history_sigmoid__rmsprop.npz
sigmoid__adagrad,sigmoid,adagrad,100,0.7029411764705882,0.6911764740943909,0.7093023255813954,0.19552446901798248,0.1938130110502243,0.6001375913619995,0.5810842514038086,ann_experiment_results\histories\history_sigmoid__adagrad.npz
sigmoid__adamax,sigmoid,adamax,100,0.9705882352941176,0.9411764740943909,0.9418604651162791,0.02306576818227768,0.028340987861156464,0.09976091235876083,0.1350024938583374,ann_experiment_results\histories\history_sigmoid__adamax.npz
tanh__adam,tanh,adam,26,0.9705882352941176,0.9558823704719543,0.9418604651162791,0.022050531581044197,0.03554968908429146,0.07409399002790451,0.10863715410232544,ann_experiment_results\histories\history_tanh__adam.npz
tanh__sgd,tanh,sgd,84,0.9676470588235294,0.9411764740943909,0.9418604651162791,0.02393047697842121,0.03100050799548626,0.10150829702615738,0.13051378726959229,ann_experiment_results\histories\history_tanh__sgd.npz
tanh__rmsprop,tanh,rmsprop,23,0.9705882352941176,0.9411764740943909,0.9534883720930233,0.022104952484369278,0.03373081609606743,0.06495779007673264,0.14160673320293427,ann_experiment_results\histories\history_tanh__rmsprop.npz
tanh__adagrad,tanh,adagrad,100,0.9352941176470588,0.9117646813392639,0.8255813953488372,0.05893752723932266,0.08938378095626831,0.2405964881181717,0.23118580877780914,ann_experiment_results\histories\history_tanh__adagrad.npz
tanh__adamax,tanh,adamax,45,0.9705882352941176,0.9558823704719543,0.9418604651162791,0.023982396349310875,0.03162514045834541,0.0847051665186882,0.1217769980430603,ann_experiment_results\histories\history_tanh__adamax.npz
elu__adam,elu,adam,33,0.9794117647058823,0.9411764740943909,0.9418604651162791,0.02003985457122326,0.0351836197078228,0.06867147237062454,0.13551153242588043,ann_experiment_results\histories\history_elu__adam.npz
elu__sgd,elu,sgd,100,0.9764705882352941,0.9558823704719543,0.9651162790697675,0.02154657617211342,0.024273766204714775,0.0845947116613388,0.12796719372272491,ann_experiment_results\histories\history_elu__sgd.npz
elu__rmsprop,elu,rmsprop,25,0.9794117647058823,0.970588207244873,0.9302325581395349,0.019439944997429848,0.03704573214054108,0.06789857149124146,0.13240906596183777,ann_experiment_results\histories\history_elu__rmsprop.npz
elu__adagrad,elu,adagrad,100,0.9470588235294117,0.9411764740943909,0.872093023255814,0.048924289643764496,0.07376165688037872,0.2380841225385666,0.19999495148658752,ann_experiment_results\histories\history_elu__adagrad.npz
elu__adamax,elu,adamax,51,0.9735294117647059,0.9558823704719543,0.9418604651162791,0.02418896183371544,0.027250919491052628,0.08890067785978317,0.11827672272920609,ann_experiment_results\histories\history_elu__adamax.npz
leaky_relu__adam,leaky_relu,adam,26,0.9676470588235294,0.9558823704719543,0.9302325581395349,0.02283387817442417,0.036426346749067307,0.06569025665521622,0.162985160946846,ann_experiment_results\histories\history_leaky_relu__adam.npz
leaky_relu__sgd,leaky_relu,sgd,100,0.9705882352941176,0.9411764740943909,0.9418604651162791,0.023521309718489647,0.03791750222444534,0.10273545235395432,0.14379680156707764,ann_experiment_results\histories\history_leaky_relu__sgd.npz
leaky_relu__rmsprop,leaky_relu,rmsprop,26,0.9705882352941176,0.9558823704719543,0.9651162790697675,0.01822267472743988,0.02658800221979618,0.04523586854338646,0.17523419857025146,ann_experiment_results\histories\history_leaky_relu__rmsprop.npz
leaky_relu__adagrad,leaky_relu,adagrad,100,0.9382352941176471,0.9264705777168274,0.9534883720930233,0.07240110635757446,0.07363521307706833,0.3044387698173523,0.2680913209915161,ann_experiment_results\histories\history_leaky_relu__adagrad.npz
leaky_relu__adamax,leaky_relu,adamax,68,0.9735294117647059,0.9558823704719543,0.9302325581395349,0.021937265992164612,0.030100658535957336,0.0850619450211525,0.1421530693769455,ann_experiment_results\histories\history_leaky_relu__adamax.npz
